2018-04-10T06:43:42.859Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=68, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=17
2018-04-10T06:43:45.953Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=70, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=7
2018-04-10T06:43:47.691Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=68, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T06:43:49.172Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=70, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T06:44:55.011Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T06:45:50.522Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=61, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T06:46:31.674Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T06:46:45.028Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T06:46:48.472Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=61, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=3
2018-04-10T06:51:23.392Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T06:52:13.958Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=61, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T06:52:30.341Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
